index,mass_dry,H2O,MgO,MnO,Al2O3,P,Fe,SiO2,TiO2,CaO,Na2O,K2O,DHID,interval_from,interval_to,x,y,z
0,2.12,0.35,0.07,0.0,1.48,0.019,64.30,3.23,0.08,0.04,0.01,0.03,CBS02,26.6,26.85,727599.0,7533998.476,398.275
1,2.06,0.23,0.06,0.0,1.28,0.017,64.91,2.9,0.082,0.04,0.01,0.03,CBS02,26.85,27.1,727599.0,7533998.476,398.025
2,1.9100000000000001,0.23,0.06,0.0,1.01,0.016,65.09,2.39,0.059,0.03,0.01,0.02,CBS02,27.7,28.0,727599.0,7533998.476,397.15
3,1.96,0.36,0.06,0.0,0.99,0.022,65.03,2.22,0.057,0.04,0.01,0.02,CBS02,28.0,28.3,727599.0,7533998.476,396.85
4,2.06,0.4,0.05,0.0,0.75,0.016,65.87,1.69,0.04,0.03,0.01,0.01,CBS02,28.6,28.95,727599.0,7533998.476,396.225
5,2.05,0.33,0.06,0.0,0.87,0.021,65.82,2.0,0.055,0.03,0.01,0.02,CBS02,28.95,29.3,727599.0,7533998.476,395.875
6,2.0,0.32,0.05,0.0,0.84,0.021,65.90,1.93,0.049,0.04,0.01,0.02,CBS02,29.3,29.6,727599.0,7533998.476,395.54999999999995
7,2.0100000000000002,0.33,0.05,0.0,0.83,0.019,65.64,1.97,0.046,0.04,0.01,0.02,CBS02,29.6,29.9,727599.0,7533998.476,395.25
8,2.0100000000000002,0.32,0.06,0.0,0.99,0.021,65.41,2.21,0.056,0.03,0.01,0.02,CBS02,29.9,30.3,727599.0,7533998.476,394.9
9,1.9200000000000002,1.05,0.05,0.0,0.97,0.021,65.30,2.25,0.052,0.03,0.01,0.02,CBS02,30.3,30.7,727599.0,7533998.476,394.5
10,2.02,1.08,0.05,0.0,1.61,0.028,64.06,3.0,0.077,0.03,0.02,0.02,CBS02,30.7,30.85,727599.0,7533998.476,394.225
11,2.06,1.02,0.05,0.0,1.02,0.027,64.97,2.17,0.051,0.03,0.01,0.02,CBS02,30.85,31.2,727599.0,7533998.476,393.975
12,2.0,0.95,0.04,0.0,0.87,0.026,65.65,1.96,0.047,0.03,0.01,0.01,CBS02,31.2,31.5,727599.0,7533998.476,393.65
